0,0,0;0,0
0,1,726;0,22,10,21,20,1,0
0,2,295;0,22,10,2,0
0,4,415;0,22,10,2,4,0
0,5,719;0,22,10,2,12,15,5,0
0,6,1578;0,22,23,19,6,0
0,7,1351;0,22,10,17,9,7,0
0,9,1267;0,22,10,17,9,0
0,10,169;0,22,10,0
0,12,763;0,22,10,2,12,0
0,13,572;0,13,0
0,14,679;0,22,23,19,18,14,0
0,15,800;0,22,10,2,12,15,0
0,16,989;0,22,10,21,16,0
0,17,618;0,22,10,17,0
0,18,653;0,22,23,19,18,0
0,19,655;0,22,23,19,0
0,20,769;0,22,10,21,20,0
0,21,235;0,22,10,21,0
0,22,29;0,22,0
0,23,575;0,22,23,0
0,24,787;0,13,26,24,0
0,25,1163;0,22,10,21,20,1,25,0
0,26,768;0,13,26,0
